,Unnamed: 0,last_name_x, first_name_x,player_id,power_score,contact_score,discipline_score,composite_score_scaled,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,woba,home_run,strikeout,walk,double,bb_percent,k_percent,hit,year_x
263,226,DeJong, Paul,657557,42.98788531494239,37.65848797150328,43.361357475149774,23.537377348370505,0.197,0.284,0.39,0.674,0.293,19,103,35,10,8.7,25.6,70,2021
264,49,Villar, Jonathan,542340,40.33176596475744,31.618499527480463,57.641955888751305,23.410641686393397,0.249,0.322,0.416,0.738,0.32,18,132,46,18,9.1,26.1,113,2021
265,99,Torreyes, Ronald,591720,18.585957531845956,79.76760355426366,12.354898088958803,23.386209200785277,0.242,0.286,0.346,0.632,0.274,7,41,19,10,5.5,11.9,77,2021
266,94,Dickerson, Corey,572816,32.29719262589789,49.03975784433021,11.731985675558075,23.311481951522335,0.271,0.326,0.408,0.734,0.317,6,68,25,18,6.8,18.6,91,2021
267,91,Taylor, Michael A.,572191,41.92930260954177,29.50270426949521,48.820124502158706,22.718683340041174,0.244,0.297,0.356,0.653,0.286,12,144,33,16,6.3,27.3,118,2021
268,112,Simmons, Andrelton,592743,17.27779047549784,66.14322825175678,39.07883463301985,21.883076219633676,0.223,0.283,0.274,0.557,0.252,3,62,32,12,7.1,13.7,92,2021
269,158,Murphy, Tom,608596,42.82644507907941,21.5648024881193,44.71817999263697,21.710544089348925,0.202,0.304,0.35,0.654,0.291,11,99,40,8,12.3,30.5,56,2021
270,126,Odor, Rougned,596059,42.78576064104576,32.70754584439887,33.4378325914522,20.210242654447143,0.202,0.286,0.379,0.665,0.289,15,100,27,12,7.5,27.7,65,2021
271,210,Robles, Victor,645302,24.948870650656147,45.331530708152215,37.6706549750661,19.781950512135335,0.203,0.31,0.295,0.605,0.274,2,85,33,21,8.9,23.0,64,2021
272,169,Stewart, DJ,621466,39.33252848367167,30.089611250811316,43.39614779611099,18.531713644672813,0.204,0.324,0.374,0.698,0.31,12,89,44,10,13.8,28.0,55,2021
273,9,Maldonado, Martin,455117,36.64304567234337,26.606041807850627,55.42531543893705,18.11840867420216,0.172,0.272,0.3,0.572,0.258,12,127,47,10,11.0,29.8,64,2021
274,230,Tsutsugo, Yoshi,660294,41.56807691008761,36.1779361438947,25.702784564409793,17.338599688335986,0.217,0.307,0.383,0.69,0.302,8,72,29,12,11.1,27.5,50,2021
275,190,Bellinger, Cody,641355,41.13684817974841,24.230202322407592,32.887814183874966,17.18510309831699,0.165,0.24,0.302,0.542,0.237,10,94,31,9,8.9,26.9,52,2021
276,138,Ahmed, Nick,605113,26.48355603841287,41.94291006318307,24.077579570936106,16.405129631227155,0.221,0.28,0.339,0.619,0.269,5,104,34,30,7.2,22.0,96,2021
277,67,Gregorius, Didi,544369,26.48740139895427,41.44319973210407,23.221075002510133,15.946942784751132,0.209,0.27,0.37,0.64,0.275,13,67,25,16,6.1,16.4,77,2021
278,204,Gutierrez, Kelvin,642721,39.15714234124527,36.57883818194005,25.679591017102315,14.691368994576976,0.232,0.292,0.316,0.608,0.27,3,76,19,8,6.4,25.8,63,2021
279,121,Kiermaier, Kevin,595281,35.83757018822247,30.554635184231216,41.06188292780884,14.10254582437955,0.259,0.328,0.388,0.716,0.31,4,99,33,19,8.5,25.4,90,2021
280,133,Bradley Jr., Jackie,598265,32.92635955600132,11.974386618723152,41.20767093945581,8.595695420513955,0.163,0.236,0.261,0.497,0.224,6,132,28,14,6.5,30.8,63,2021
281,124,Hedges, Austin,595978,28.096974434203364,34.172742138113975,21.496469092004432,1.0,0.178,0.22,0.308,0.528,0.227,10,87,15,7,4.8,27.9,51,2021
282,78,Judge, Aaron,592450,91.9546160124487,53.57103950719756,100.0,100.0,0.311,0.425,0.686,1.111,0.458,62,175,111,28,15.9,25.1,177,2022
283,257,Alvarez, Yordan,670541,77.77001516961192,83.52851184029088,75.62995543044802,95.32535327871136,0.306,0.406,0.613,1.019,0.427,37,106,78,29,13.9,18.9,144,2022
